date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:40	97544/97544	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:57:02%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_glyphicons.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:41	241634/241634	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_material.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:41	93026/93026	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_themify.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:41	112839/112839	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:51%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_simpleline.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:42	117052/117052	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:49%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_cryptocoins.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:42	80910/80910	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:46%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_flag.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:42	86062/86062	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:49:52%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/icons_weather.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:43	65739/65739	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:01%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_ribbons.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:43	71746/71746	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:04%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_sliders.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
20:56:44	85813/85813	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2009:50:02%20GMT	https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	C:/Users/VIDHI%20BORA/Downloads/recap/recap_1/edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/ui_typography.html	(from https://edulearn-lms-admin-template.multipurposethemes.com/template/vertical/main/index.html)
